Page,Section,Element,Copy,File Location
Homepage,Hero,Badge,"Premium Matchmaking App · South Florida",src/components/sections/Hero.tsx
Homepage,Hero,Headline,"Your Last Investment in Dating. Ever.",src/components/sections/Hero.tsx
Homepage,Hero,Subhead,"Take a 7-minute assessment. Get matched only with people you're 70%+ compatible with. Powered by 30 years of behavioral science and a US patent.",src/components/sections/Hero.tsx
Homepage,Hero,CTA Primary,"See If You Qualify",src/components/sections/Hero.tsx
Homepage,Hero,CTA Secondary,"Watch How It Works",src/components/sections/Hero.tsx
Homepage,Hero,Testimonial Quote,"We matched in 6 weeks. A year later, we're engaged.",src/components/sections/Hero.tsx
Homepage,Hero,Testimonial Attribution,"— Sarah & David, AILO Members",src/components/sections/Hero.tsx
Homepage,Problem,Badge,"The Real Problem",src/components/sections/Problem.tsx
Homepage,Problem,Headline,"You've Done Everything Right. Dating Still Doesn't Work.",src/components/sections/Problem.tsx
Homepage,Problem,Subhead,"You're successful. You know what you want. So why is this so hard?",src/components/sections/Problem.tsx
Homepage,Problem,Pain Point 1 Title,"You're not looking for hookups. But that's all apps deliver.",src/components/sections/Problem.tsx
Homepage,Problem,Pain Point 1 Description,"Endless swiping, zero serious prospects.",src/components/sections/Problem.tsx
Homepage,Problem,Pain Point 2 Title,"Dates that look good on paper. Zero chemistry in person.",src/components/sections/Problem.tsx
Homepage,Problem,Pain Point 2 Description,"Another wasted evening. Another dead end.",src/components/sections/Problem.tsx
Homepage,Problem,Pain Point 3 Title,"Compatibility? You won't know until you're 3 months in.",src/components/sections/Problem.tsx
Homepage,Problem,Pain Point 3 Description,"By then, you've already invested everything.",src/components/sections/Problem.tsx
Homepage,Problem,Pain Point 4 Title,"You've tried everything. Same result.",src/components/sections/Problem.tsx
Homepage,Problem,Pain Point 4 Description,"Hinge. Bumble. Raya. Nothing works.",src/components/sections/Problem.tsx
Homepage,Problem,Closing Line 1,"It's not you.",src/components/sections/Problem.tsx
Homepage,Problem,Closing Line 2,"The system was never built for people like you.",src/components/sections/Problem.tsx
Homepage,Imagine,Badge,"What Changes",src/components/sections/Imagine.tsx
Homepage,Imagine,Headline,"Before the First Date, You'll Know:",src/components/sections/Imagine.tsx
Homepage,Imagine,Point 1 Title,"Their communication style",src/components/sections/Imagine.tsx
Homepage,Imagine,Point 1 Description,"And whether it matches yours",src/components/sections/Imagine.tsx
Homepage,Imagine,Point 2 Title,"How they handle conflict",src/components/sections/Imagine.tsx
Homepage,Imagine,Point 2 Description,"And if you're compatible under stress",src/components/sections/Imagine.tsx
Homepage,Imagine,Point 3 Title,"What they actually need",src/components/sections/Imagine.tsx
Homepage,Imagine,Point 3 Description,"Not what their bio says",src/components/sections/Imagine.tsx
Homepage,Imagine,Point 4 Title,"Why you'd work together",src/components/sections/Imagine.tsx
Homepage,Imagine,Point 4 Description,"Backed by 30 years of science",src/components/sections/Imagine.tsx
Homepage,Imagine,Closing,"No more guessing. No more wasted time.",src/components/sections/Imagine.tsx
Homepage,Founder Story,Quote,"I spent 3 years on dating apps. Zero relationships. Then I found the science that actually predicts compatibility.",src/components/sections/FounderStory.tsx
Homepage,Founder Story,Founder Name,"Haleh Gianni",src/components/sections/FounderStory.tsx
Homepage,Founder Story,Founder Title,"Founder & CEO",src/components/sections/FounderStory.tsx
Homepage,Founder Story,Journey Step 1 Label,"The Problem",src/components/sections/FounderStory.tsx
Homepage,Founder Story,Journey Step 1 Text,"3 years on apps, nothing to show",src/components/sections/FounderStory.tsx
Homepage,Founder Story,Journey Step 2 Label,"The Discovery",src/components/sections/FounderStory.tsx
Homepage,Founder Story,Journey Step 2 Text,"Found Dr. Zannah's 30-year research",src/components/sections/FounderStory.tsx
Homepage,Founder Story,Journey Step 3 Label,"The Insight",src/components/sections/FounderStory.tsx
Homepage,Founder Story,Journey Step 3 Text,"Science solves what swiping can't",src/components/sections/FounderStory.tsx
Homepage,Founder Story,Journey Step 4 Label,"The Solution",src/components/sections/FounderStory.tsx
Homepage,Founder Story,Journey Step 4 Text,"Built the app I needed",src/components/sections/FounderStory.tsx
Homepage,Founder Story,CTA,"Learn About the Science",src/components/sections/FounderStory.tsx
Homepage,How It Works,Headline,"3 Steps to Your Last First Date",src/components/sections/HowItWorks.tsx
Homepage,How It Works,Step 1 Title,"Complete the 7-Minute Assessment",src/components/sections/HowItWorks.tsx
Homepage,How It Works,Step 1 Description,"Based on 30 years of behavioral science. Reveals your true compatibility profile.",src/components/sections/HowItWorks.tsx
Homepage,How It Works,Step 2 Title,"Get Your Authentic Profile",src/components/sections/HowItWorks.tsx
Homepage,How It Works,Step 2 Description,"No fake bios. AILO writes your profile based on who you actually are.",src/components/sections/HowItWorks.tsx
Homepage,How It Works,Step 3 Title,"See Only 70%+ Matches",src/components/sections/HowItWorks.tsx
Homepage,How It Works,Step 3 Description,"No swiping. Just people you're actually compatible with — and why.",src/components/sections/HowItWorks.tsx
Homepage,How It Works,CTA,"Take the Assessment",src/components/sections/HowItWorks.tsx
Homepage,Sample Match,Badge,"See What You Get",src/components/sections/SampleMatch.tsx
Homepage,Sample Match,Headline,"This Is What a Match Looks Like",src/components/sections/SampleMatch.tsx
Homepage,Sample Match,Subhead,"Real insights, not guesswork. Every match comes with a detailed compatibility breakdown.",src/components/sections/SampleMatch.tsx
Homepage,Sample Match,Category 1,"Magnetism",src/components/sections/SampleMatch.tsx
Homepage,Sample Match,Category 1 Insight,"Natural physical and energetic attraction patterns align",src/components/sections/SampleMatch.tsx
Homepage,Sample Match,Category 2,"Communication",src/components/sections/SampleMatch.tsx
Homepage,Sample Match,Category 2 Insight,"You both connect through deep conversation and quality time",src/components/sections/SampleMatch.tsx
Homepage,Sample Match,Category 3,"Tolerance",src/components/sections/SampleMatch.tsx
Homepage,Sample Match,Category 3 Insight,"Compatible stress responses — both need space to process",src/components/sections/SampleMatch.tsx
Homepage,Sample Match,Category 4,"Motivators",src/components/sections/SampleMatch.tsx
Homepage,Sample Match,Category 4 Insight,"Shared drivers: ambition, growth, and family values",src/components/sections/SampleMatch.tsx
Homepage,Sample Match,Score Explanation Title,"What This Score Means",src/components/sections/SampleMatch.tsx
Homepage,Sample Match,Score Explanation,"A 78% match indicates strong foundational compatibility. Our research shows couples above 70% have significantly higher relationship satisfaction and longevity.",src/components/sections/SampleMatch.tsx
Homepage,Sample Match,CTA,"See If You Qualify",src/components/sections/SampleMatch.tsx
Homepage,Testimonials,Badge,"Real Results",src/components/sections/Testimonials.tsx
Homepage,Testimonials,Headline,"Stories from AILO Members",src/components/sections/Testimonials.tsx
Homepage,Testimonials,Subhead,"Real people finding real compatibility — not just matches.",src/components/sections/Testimonials.tsx
Homepage,Testimonials,Quote 1,"After 3 years on Hinge — 47 first dates, 0 relationships — AILO matched me in 6 weeks. Engaged 14 months later.",src/components/sections/Testimonials.tsx
Homepage,Testimonials,Quote 1 Name,"Sarah K.",src/components/sections/Testimonials.tsx
Homepage,Testimonials,Quote 1 Outcome,"Engaged after 14 months",src/components/sections/Testimonials.tsx
Homepage,Testimonials,Quote 2,"The compatibility breakdown predicted exactly why my last 3 relationships failed. My AILO match is different. 8 months strong.",src/components/sections/Testimonials.tsx
Homepage,Testimonials,Quote 2 Name,"Michael R.",src/components/sections/Testimonials.tsx
Homepage,Testimonials,Quote 2 Outcome,"In relationship, 8 months",src/components/sections/Testimonials.tsx
Homepage,Testimonials,Quote 3,"I finally understand why I kept choosing the wrong people. AILO showed me what I actually need — and found someone who has it.",src/components/sections/Testimonials.tsx
Homepage,Testimonials,Quote 3 Name,"Jennifer L.",src/components/sections/Testimonials.tsx
Homepage,Testimonials,Quote 3 Outcome,"Matched in 4 weeks",src/components/sections/Testimonials.tsx
Homepage,Testimonials,Quote 4,"One assessment. One investment. Done with dating apps forever. Worth every dollar.",src/components/sections/Testimonials.tsx
Homepage,Testimonials,Quote 4 Name,"Carlos M.",src/components/sections/Testimonials.tsx
Homepage,Testimonials,Quote 4 Outcome,"In relationship, 6 months",src/components/sections/Testimonials.tsx
Homepage,Testimonials,Stat 1 Value,"13,000+",src/components/sections/Testimonials.tsx
Homepage,Testimonials,Stat 1 Label,"Assessments Completed",src/components/sections/Testimonials.tsx
Homepage,Testimonials,Stat 2 Value,"30+",src/components/sections/Testimonials.tsx
Homepage,Testimonials,Stat 2 Label,"Years of Research",src/components/sections/Testimonials.tsx
Homepage,Testimonials,Stat 3 Value,"70%+",src/components/sections/Testimonials.tsx
Homepage,Testimonials,Stat 3 Label,"Compatibility Threshold",src/components/sections/Testimonials.tsx
Homepage,Guarantee,Badge,"Risk-Free",src/components/sections/Guarantee.tsx
Homepage,Guarantee,Headline,"The 90-Day Match Guarantee",src/components/sections/Guarantee.tsx
Homepage,Guarantee,Subhead,"3 compatible matches in 90 days. Or we make it right.",src/components/sections/Guarantee.tsx
Homepage,Guarantee,Intro,"If we don't deliver, you get:",src/components/sections/Guarantee.tsx
Homepage,Guarantee,Item 1 Title,"AILO Duo — Free for Life",src/components/sections/Guarantee.tsx
Homepage,Guarantee,Item 1 Description,"Full access to our compatibility assessment tool, forever",src/components/sections/Guarantee.tsx
Homepage,Guarantee,Item 2 Title,"VIP Event Access",src/components/sections/Guarantee.tsx
Homepage,Guarantee,Item 2 Description,"Meet compatible singles in person at all AILO events",src/components/sections/Guarantee.tsx
Homepage,Guarantee,Item 3 Title,"Priority Support",src/components/sections/Guarantee.tsx
Homepage,Guarantee,Item 3 Description,"Direct line to our team to optimize your profile and matches",src/components/sections/Guarantee.tsx
Homepage,Guarantee,Closing,"We stand behind the science. That's our promise.",src/components/sections/Guarantee.tsx
Homepage,Guarantee,CTA,"See If You Qualify",src/components/sections/Guarantee.tsx
Homepage,Events,Badge,"Beyond the App",src/components/sections/Events.tsx
Homepage,Events,Headline,"Meet AILO Members In Person",src/components/sections/Events.tsx
Homepage,Events,Subhead,"Our relationship workshops are where real connections happen. Not awkward singles mixers — elegant events with guided compatibility discussions.",src/components/sections/Events.tsx
Homepage,Events,Event 1 Title,"Intimate Gatherings",src/components/sections/Events.tsx
Homepage,Events,Event 1 Frequency,"Weekly",src/components/sections/Events.tsx
Homepage,Events,Event 1 Size,"8-12 people",src/components/sections/Events.tsx
Homepage,Events,Event 1 Description,"Small group workshops focused on deep connection and self-discovery",src/components/sections/Events.tsx
Homepage,Events,Event 2 Title,"Monthly Mixers",src/components/sections/Events.tsx
Homepage,Events,Event 2 Frequency,"Monthly",src/components/sections/Events.tsx
Homepage,Events,Event 2 Size,"30-50 people",src/components/sections/Events.tsx
Homepage,Events,Event 2 Description,"Elegant social events where meaningful conversations happen naturally",src/components/sections/Events.tsx
Homepage,Events,Event 3 Title,"Signature Events",src/components/sections/Events.tsx
Homepage,Events,Event 3 Frequency,"Quarterly",src/components/sections/Events.tsx
Homepage,Events,Event 3 Size,"100+ people",src/components/sections/Events.tsx
Homepage,Events,Event 3 Description,"Exclusive experiences at Miami's most sought-after venues",src/components/sections/Events.tsx
Homepage,Events,VIP Badge,"AILO Members get VIP access to all events",src/components/sections/Events.tsx
Homepage,Events,CTA,"Become a Member",src/components/sections/Events.tsx
Homepage,Duo Teaser,Badge,"Not Ready to Commit?",src/components/sections/DuoTeaser.tsx
Homepage,Duo Teaser,Headline,"Try the Science First — $29",src/components/sections/DuoTeaser.tsx
Homepage,Duo Teaser,Subhead,"Test AILO's compatibility assessment with a friend, family member, or someone you're dating. See why it works before you invest in matching.",src/components/sections/DuoTeaser.tsx
Homepage,Duo Teaser,Feature 1,"Compare with anyone",src/components/sections/DuoTeaser.tsx
Homepage,Duo Teaser,Feature 2,"See compatibility score",src/components/sections/DuoTeaser.tsx
Homepage,Duo Teaser,Feature 3,"Instant insights",src/components/sections/DuoTeaser.tsx
Homepage,Duo Teaser,CTA,"Try AILO Duo",src/components/sections/DuoTeaser.tsx
Homepage,FAQ,Headline,"Questions? We've Got Answers.",src/components/sections/FAQ.tsx
Homepage,FAQ,Q1,"How is AILO different from dating apps?",src/components/sections/FAQ.tsx
Homepage,FAQ,A1,"Dating apps show you everyone nearby and let you guess. We use patented behavioral science to only show you people you're actually compatible with. Fewer matches, but matches that make sense.",src/components/sections/FAQ.tsx
Homepage,FAQ,Q2,"What happens after I complete the questionnaire?",src/components/sections/FAQ.tsx
Homepage,FAQ,A2,"You'll book a strategy call with our team. We'll answer your questions and see if AILO is right for you. After joining, you'll complete the full Discovery Assessment in the app.",src/components/sections/FAQ.tsx
Homepage,FAQ,Q3,"How long until I see matches?",src/components/sections/FAQ.tsx
Homepage,FAQ,A3,"Most members receive their first matches within 7-14 days of completing the assessment. Timing depends on our current pool and your compatibility profile.",src/components/sections/FAQ.tsx
Homepage,FAQ,Q4,"What's the investment?",src/components/sections/FAQ.tsx
Homepage,FAQ,A4,"Traditional matchmakers charge $15,000-50,000 with no guarantees. AILO membership is a one-time investment of $999-1,499 depending on your situation — we'll discuss options on your call. Unlike monthly subscriptions, you pay once and keep access forever, including future matches, events, and all app updates.",src/components/sections/FAQ.tsx
Homepage,FAQ,Q5,"I'm not in South Florida. Can I use AILO?",src/components/sections/FAQ.tsx
Homepage,FAQ,A5,"We're currently matching in South Florida only. Join the waitlist and you'll get priority access when we expand to your area.",src/components/sections/FAQ.tsx
Homepage,FAQ,Q6,"What if I don't get matches?",src/components/sections/FAQ.tsx
Homepage,FAQ,A6,"That's what the 90-Day Guarantee is for. If you don't receive at least 3 compatible matches within 90 days, you get AILO Duo free for life plus VIP access to all our events.",src/components/sections/FAQ.tsx
Homepage,Final CTA,Badge,"8 spots left for January",src/components/sections/FinalCTA.tsx
Homepage,Final CTA,Headline,"This Is Your Last Investment in Dating",src/components/sections/FinalCTA.tsx
Homepage,Final CTA,Subhead,"50 new members per month. Once you're in, you're in for life.",src/components/sections/FinalCTA.tsx
Homepage,Final CTA,Social Proof,"Join 200+ members already matched in South Florida.",src/components/sections/FinalCTA.tsx
Homepage,Final CTA,CTA Primary,"See If You Qualify",src/components/sections/FinalCTA.tsx
Homepage,Final CTA,Divider,"OR",src/components/sections/FinalCTA.tsx
Homepage,Final CTA,Non-SF Text,"Not in South Florida? We're expanding soon.",src/components/sections/FinalCTA.tsx
Homepage,Final CTA,CTA Secondary,"Join the Waitlist for Your City",src/components/sections/FinalCTA.tsx
Apply,Quiz Intro,Headline,"Quick Check: Are We Right for You?",src/app/apply/QuizContainer.tsx
Apply,Quiz Intro,Subhead Line 1,"5 questions. 2 minutes.",src/app/apply/QuizContainer.tsx
Apply,Quiz Intro,Subhead Line 2,"We'll tell you honestly if AILO can help.",src/app/apply/QuizContainer.tsx
Apply,Quiz Intro,CTA,"Start",src/app/apply/QuizContainer.tsx
Apply,Quiz Intro,Social Proof,"Based on 30 years of compatibility research",src/app/apply/QuizContainer.tsx
Apply,Quiz Intro,Badge 1,"US Patent #8556630B2",src/app/apply/QuizContainer.tsx
Apply,Quiz Intro,Badge 2,"70%+ matches only",src/app/apply/QuizContainer.tsx
Apply,Quiz Intro,Badge 3,"~2 minutes",src/app/apply/QuizContainer.tsx
Apply,Quiz Q1,Question,"Where do you currently live?",src/lib/quiz-data.ts
Apply,Quiz Q1,Option A,"South Florida (Palm Beach, Broward, Miami-Dade)",src/lib/quiz-data.ts
Apply,Quiz Q1,Option B,"Florida (outside South Florida)",src/lib/quiz-data.ts
Apply,Quiz Q1,Option C,"U.S. (outside Florida)",src/lib/quiz-data.ts
Apply,Quiz Q1,Option D,"Outside the U.S.",src/lib/quiz-data.ts
Apply,Quiz Q2,Question,"What are you looking for?",src/lib/quiz-data.ts
Apply,Quiz Q2,Option A,"A committed relationship — I'm ready",src/lib/quiz-data.ts
Apply,Quiz Q2,Option B,"Something serious, but balancing priorities",src/lib/quiz-data.ts
Apply,Quiz Q2,Option C,"Exploring, no rush",src/lib/quiz-data.ts
Apply,Quiz Q2,Option D,"Just curious about AILO",src/lib/quiz-data.ts
